tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_type,dog_breed,confidence,dog_stage,retweet_count,favorite_count,source
890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,14,10,Cassie,Dog,Pembroke,0.5113,doggo,7091,30902,Twitter for iPhone
884162670584377345,2017-07-09 21:29:42,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo ,12,10,Yogi,Dog,German Shepherd,0.707,doggo,2872,19726,Twitter for iPhone
872967104147763200,2017-06-09 00:02:31,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo ,12,10,None,Dog,Labrador Retriever,0.4769,doggo,5261,26556,Twitter for iPhone
871515927908634625,2017-06-04 23:56:03,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo ,12,10,Napolean,Dog,Komondor,0.9748,doggo,3367,19680,Twitter for iPhone
871102520638267392,2017-06-03 20:33:19,Never doubt a doggo 14/10 ,14,10,None,,,,doggo,5383,20408,Twitter for iPhone
869596645499047938,2017-05-30 16:49:31,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for ,12,10,Scout,Dog,Chihuahua,0.9552,doggo,3076,15643,Twitter for iPhone
858843525470990336,2017-05-01 00:40:27,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge ,13,10,None,Dog,Golden Retriever,0.5781,doggo,3495,15465,Twitter for iPhone
855851453814013952,2017-04-22 18:31:02,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for ,13,10,None,Dog,Flat Coated Retriever,0.3217,doggo,17996,45616,Twitter for iPhone
854010172552949760,2017-04-17 16:34:26,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs ",11,10,None,Dog,English Springer,0.3547,doggo,3213,16301,Twitter for iPhone
846514051647705089,2017-03-28 00:07:32,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon ,13,10,Barney,Dog,Golden Retriever,0.65,doggo,12048,45640,Twitter for iPhone
845397057150107648,2017-03-24 22:08:59,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

",13,10,Mimosa,Dog,Dandie Dinmont,0.3944,doggo,1877,7831,Twitter for iPhone
836753516572119041,2017-03-01 01:42:39,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 ,12,10,Meera,Might Dog,Unknown,0.9577,doggo,4858,19921,Twitter for iPhone
834574053763584002,2017-02-23 01:22:14,Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. 13/10 ,13,10,None,Might Dog,Unknown,0.3418,doggo,2674,14162,Twitter for iPhone
834089966724603904,2017-02-21 17:18:39,DOGGO ON THE LOOSE I REPEAT DOGGO ON THE LOOSE 10/10 ,10,10,None,,,,doggo,2248,10405,Twitter for iPhone
832998151111966721,2017-02-18 17:00:10,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10 ",13,10,Rhino,Dog,Boxer,0.539,doggo,2341,13771,Twitter for iPhone
832273440279240704,2017-02-16 17:00:25,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere ,14,10,Smiley,Might Dog,Unknown,0.0519,doggo,2462,11737,Twitter for iPhone
832032802820481025,2017-02-16 01:04:13,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

",12,10,Miguel,Dog,Whippet,0.6017,doggo,4926,18513,Twitter for iPhone
831939777352105988,2017-02-15 18:54:34,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet ,12,10,Emanuel,Might Dog,Unknown,0.1819,doggo,6486,24883,Twitter for iPhone
831322785565769729,2017-02-14 02:02:51,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly ,12,10,Pete,Dog,Old English Sheepdog,0.9997,doggo,1625,9591,Twitter for iPhone
829449946868879360,2017-02-08 22:00:52,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10 ,11,10,None,Dog,Labrador Retriever,0.3152,doggo,2147,10873,Twitter for iPhone
829374341691346946,2017-02-08 17:00:26,This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere ,13,10,Astrid,Dog,Staffordshire Bullterrier,0.7575,doggo,0,0,Twitter for iPhone
828381636999917570,2017-02-05 23:15:47,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly ,14,10,Doobert,Dog,Bedlington Terrier,0.3925,doggo,2365,13131,Twitter for iPhone
826958653328592898,2017-02-02 01:01:21,This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 ,12,10,Loki,Dog,Golden Retriever,0.6174,doggo,5340,22455,Twitter for iPhone
826848821049180160,2017-02-01 17:44:55,This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. 13/10 heroic af ,13,10,Cupid,Dog,Great Pyrenees,0.8588,doggo,10877,37957,Twitter for iPhone
826476773533745153,2017-01-31 17:06:32,This is Pilot. He has mastered the synchronized head tilt and sneaky tongue slip. Usually not unlocked until later doggo days. 12/10 ,12,10,Pilot,Dog,German Shepherd,0.7419,doggo,4474,19210,Twitter for iPhone
826204788643753985,2017-01-30 23:05:46,"Here's a little more info on Dew, your favorite roaming doggo that went h*ckin viral. 13/10 
",13,10,None,Dog,Labrador Retriever,0.7821,doggo,990,5077,Twitter for iPhone
821765923262631936,2017-01-18 17:07:18,This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af ,13,10,Duchess,Dog,Golden Retriever,0.9801,doggo,1774,8799,Twitter for iPhone
821407182352777218,2017-01-17 17:21:47,This is Sundance. He's a doggo drummer. Even sings a bit on the side. 14/10 entertained af (vid by @sweetsundance) ,14,10,Sundance,Dog,Irish Setter,0.5055,doggo,4647,12324,Twitter for iPhone
821107785811234820,2017-01-16 21:32:06,Here's a doggo who looks like he's about to give you a list of mythical ingredients to go collect for his potion. 11/10 would obey ,11,10,None,Dog,Pomeranian,0.8566,doggo,2274,10038,Twitter for iPhone
819924195358416896,2017-01-13 15:08:56,Here we have a doggo who has messed up. He was hoping you wouldn't notice. 11/10 someone help him ,11,10,None,Not Dog,Unknown,0.1009,doggo,5183,13485,Twitter for iPhone
